model,text_mode,seed_weight,card_id,current_l3,target_l3,current_similarity,target_similarity,target_minus_current,bootstrap_target_preference
bge-m3,bilingual,1.0,PHYSBENCH-REF-0065,I3.7,P3.2,0.7339126647277905,0.7755931795034366,0.04168051477564616,0.999
bge-m3,bilingual,1.0,PHYSBENCH-REF-0107,I3.6,S3.6,0.6903741991665321,0.8014339024338907,0.11105970326735859,0.998
bge-m3,bilingual,1.0,PHYSRISK-REF-0033,I3.6,S3.6,0.6943655018705728,0.7324964261301956,0.038130924259622834,0.952
bge-m3,bilingual,1.0,PHYSRISK-REF-0037,P3.3,S3.9,0.6675712217631514,0.5898677397599108,-0.07770348200324062,0.0
bge-m3,bilingual,1.0,PHYSRISK-REF-0055,S3.9,S3.6,0.512163141793286,0.6926691314917173,0.18050598969843124,1.0
bge-m3,bilingual,3.0,PHYSBENCH-REF-0065,I3.7,P3.2,0.7346334132723952,0.7753882532442806,0.04075483997188545,1.0
bge-m3,bilingual,3.0,PHYSBENCH-REF-0107,I3.6,S3.6,0.6726891710166828,0.7810416986726527,0.10835252765596992,0.999
bge-m3,bilingual,3.0,PHYSRISK-REF-0033,I3.6,S3.6,0.6919299092780786,0.7403015735284699,0.0483716642503913,0.997
bge-m3,bilingual,3.0,PHYSRISK-REF-0037,P3.3,S3.9,0.6568116093737976,0.5539190895741901,-0.10289251979960745,0.0
bge-m3,bilingual,3.0,PHYSRISK-REF-0055,S3.9,S3.6,0.512163141793286,0.6825741503138281,0.17041100852054203,1.0
bge-m3,bilingual,5.0,PHYSBENCH-REF-0065,I3.7,P3.2,0.7310675755476487,0.7746295568548687,0.04356198130722,1.0
bge-m3,bilingual,5.0,PHYSBENCH-REF-0107,I3.6,S3.6,0.6546743898463652,0.7603336844219513,0.1056592945755861,1.0
bge-m3,bilingual,5.0,PHYSRISK-REF-0033,I3.6,S3.6,0.6843983703611058,0.7411185571804031,0.05672018681929725,0.999
bge-m3,bilingual,5.0,PHYSRISK-REF-0037,P3.3,S3.9,0.6441386260942756,0.5341318075900268,-0.11000681850424887,0.0
bge-m3,bilingual,5.0,PHYSRISK-REF-0055,S3.9,S3.6,0.5121631417932859,0.6702985245205375,0.15813538272725158,1.0
bge-m3,bilingual,10.0,PHYSBENCH-REF-0065,I3.7,P3.2,0.7178013108498345,0.7711486257995663,0.05334731494973188,1.0
bge-m3,bilingual,10.0,PHYSBENCH-REF-0107,I3.6,S3.6,0.6183882601954362,0.7167747431002616,0.09838648290482532,1.0
bge-m3,bilingual,10.0,PHYSRISK-REF-0033,I3.6,S3.6,0.6634262085880942,0.7330425303931407,0.06961632180504651,1.0
bge-m3,bilingual,10.0,PHYSRISK-REF-0037,P3.3,S3.9,0.6271006706031508,0.5140861803382573,-0.11301449026489352,0.0
bge-m3,bilingual,10.0,PHYSRISK-REF-0055,S3.9,S3.6,0.5121631417932859,0.6416879601176143,0.12952481832432838,1.0
bge-m3,english,1.0,PHYSBENCH-REF-0065,I3.7,P3.2,0.7614062776218302,0.8062818575051256,0.04487557988329538,1.0
bge-m3,english,1.0,PHYSBENCH-REF-0107,I3.6,S3.6,0.6780702210894646,0.788065780587703,0.10999555949823847,0.998
bge-m3,english,1.0,PHYSRISK-REF-0033,I3.6,S3.6,0.7275010108421651,0.7343170230783813,0.006816012236216196,0.704
bge-m3,english,1.0,PHYSRISK-REF-0037,P3.3,S3.9,0.6361833516819746,0.567093567660857,-0.06908978402111765,0.0
bge-m3,english,1.0,PHYSRISK-REF-0055,S3.9,S3.6,0.4424189398899526,0.6942202225232785,0.2518012826333259,1.0
bge-m3,english,3.0,PHYSBENCH-REF-0065,I3.7,P3.2,0.7577203429210211,0.805959261665396,0.048238918744374915,1.0
bge-m3,english,3.0,PHYSBENCH-REF-0107,I3.6,S3.6,0.659126654201173,0.76988302449809,0.11075637029691698,0.999
bge-m3,english,3.0,PHYSRISK-REF-0033,I3.6,S3.6,0.7262794876912784,0.7365313930071073,0.01025190531582898,0.775
bge-m3,english,3.0,PHYSRISK-REF-0037,P3.3,S3.9,0.6355181127662468,0.5230131756701402,-0.11250493709610665,0.0
bge-m3,english,3.0,PHYSRISK-REF-0055,S3.9,S3.6,0.4424189398899525,0.6838596428397012,0.24144070294974873,1.0
