doc_type,category,x,y
papers,ai,8.909237,14.688136
papers,ai,9.0161495,13.6876745
papers,ai,9.228073,13.566862
papers,ai,7.987758,12.565183
papers,ai,11.544732,12.746667
papers,ai,8.099758,12.359512
papers,ai,6.5117507,15.573889
papers,ai,8.351611,13.665292
papers,ai,8.604103,12.994298
papers,ai,7.4930453,15.556193
papers,ai,7.8530803,12.350611
papers,ai,6.303217,16.185139
papers,ai,8.543237,13.582698
papers,ai,6.816006,13.919597
papers,ai,8.139453,13.422425
papers,ai,8.21252,12.266292
papers,ai,8.711495,13.795321
papers,ai,8.717664,13.369928
papers,ai,6.9542103,13.744323
papers,ai,7.31932,13.126078
papers,ai,7.160893,13.420886
papers,ai,7.1985574,13.302883
papers,ai,6.8401623,13.698992
papers,ai,8.245081,14.400291
papers,ai,7.7962413,13.406755
papers,ai,7.2504644,13.207202
papers,ai,7.0592847,13.338375
papers,ai,7.339381,13.884379
papers,ai,9.091801,13.540969
papers,ai,9.022028,13.084007
papers,ai,6.6596017,14.382742
papers,ai,7.6653695,12.786769
papers,ai,8.926557,13.774535
papers,ai,6.0963445,13.530202
papers,ai,7.292631,13.235885
papers,ai,9.148814,14.118332
papers,ai,10.310838,10.247294
papers,ai,9.249584,13.39943
papers,ai,8.26896,13.309028
papers,ai,8.5903425,13.4889555
papers,ai,8.915565,13.248654
papers,ai,10.291199,14.876866
papers,ai,8.018006,13.245288
papers,ai,8.36859,13.416363
papers,ai,7.805308,15.46455
papers,ai,8.023227,14.847212
papers,ai,10.862724,13.962333
papers,ai,8.934128,13.628206
papers,ai,8.174711,13.07747
papers,ai,8.180731,13.117326
papers,ai,8.898365,13.583797
papers,ai,8.963151,13.172032
papers,ai,6.605341,14.12586
papers,ai,8.848689,12.490279
papers,ai,7.7699194,12.944839
papers,ai,10.173974,14.034928
papers,ai,8.2432995,13.724275
papers,ai,7.137468,13.144177
papers,ai,8.63072,13.429181
papers,ai,7.5138755,12.953389
papers,ai,9.927565,12.221697
papers,ai,7.707079,13.341528
papers,ai,5.290053,14.910287
