source_family,organization,records,share_of_linked_records_pct
Scholarly publications,KAIST,837,11.74
Scholarly publications,Seoul National University,616,8.64
Scholarly publications,Yonsei University,479,6.72
Scholarly publications,Korea University,388,5.44
Scholarly publications,Sungkyunkwan University,360,5.05
Scholarly publications,Hanyang University,289,4.05
Scholarly publications,Sejong University,275,3.86
Scholarly publications,Kyung Hee University,264,3.7
Scholarly publications,Pohang University of Science and Technology,221,3.1
Scholarly publications,Samsung,216,3.03
Scholarly publications,ETRI,214,3.0
Scholarly publications,Kyungpook National University,191,2.68
Scholarly publications,Chung-Ang University,182,2.55
Scholarly publications,Gachon University,154,2.16
Scholarly publications,Pusan National University,153,2.15
Policy/report documents,Ministry of Science and ICT,82,7.87
Policy/report documents,NIST,60,5.76
Policy/report documents,RAND Corporation,53,5.09
Policy/report documents,World Economic Forum,38,3.65
Policy/report documents,정보통신기획평가원,37,3.55
Policy/report documents,Observer Research Foundation,28,2.69
Policy/report documents,OECD,26,2.5
Policy/report documents,Asian Development Bank,18,1.73
Policy/report documents,Uk Ministry of Housing,18,1.73
Policy/report documents,Asia-Pacific Economic Cooperation,16,1.54
Policy/report documents,Center For Strategic and International Studies,16,1.54
Policy/report documents,Nomura Research Institute,15,1.44
Policy/report documents,Small and Medium Business Administration,15,1.44
Policy/report documents,Centre For International Governance Innovation,14,1.34
Policy/report documents,Bruegel,12,1.15
Patent records,Samsung Electronics,1467,10.4
Patent records,LG Electronics,1263,8.95
Patent records,Hyundai Motor,762,5.4
Patent records,SK hynix,618,4.38
Patent records,Kia,608,4.31
Patent records,ETRI,285,2.02
Patent records,Hyundai Mobis,203,1.44
Patent records,Dongbu Hitek Company,187,1.33
Patent records,KAIST,130,0.92
Patent records,Samsung Display,113,0.8
Patent records,Korea Electronics Technology Institute,101,0.72
Patent records,Stradvision,99,0.7
Patent records,Dongbu Electronics Company,88,0.62
Patent records,Kt Corporation,75,0.53
Patent records,Inha University Research and Business Foundation,68,0.48
