source_family,organization,records,share_of_linked_records_pct
Scholarly publications,KAIST,837,11.74
Scholarly publications,Seoul National University,616,8.64
Scholarly publications,Yonsei University,479,6.72
Scholarly publications,Korea University,388,5.44
Scholarly publications,Sungkyunkwan University,360,5.05
Scholarly publications,Hanyang University,289,4.05
Scholarly publications,Sejong University,275,3.86
Scholarly publications,Kyung Hee University,264,3.7
Scholarly publications,Pohang University of Science and Technology,221,3.1
Scholarly publications,Samsung,216,3.03
Scholarly publications,ETRI,214,3.0
Scholarly publications,Kyungpook National University,191,2.68
Scholarly publications,Chung-Ang University,182,2.55
Scholarly publications,Gachon University,154,2.16
Scholarly publications,Pusan National University,153,2.15
Policy/report documents,Ministry of Science and ICT,82,26.54
Policy/report documents,정보통신기획평가원,37,11.97
Policy/report documents,Small and Medium Business Administration,15,4.85
Policy/report documents,산업통상자원부,11,3.56
Policy/report documents,한국건설기술연구원,11,3.56
Policy/report documents,교육부,11,3.56
Policy/report documents,한국전자통신연구원,10,3.24
Policy/report documents,한국산업기술평가관리원,7,2.27
Policy/report documents,국토교통부,7,2.27
Policy/report documents,과학기술정책연구원,6,1.94
Policy/report documents,지식경제부,6,1.94
Policy/report documents,국토교통과학기술진흥원,6,1.94
Policy/report documents,한국과학기술정보연구원,4,1.29
Policy/report documents,한국문화정보원,4,1.29
Policy/report documents,산업자원부,4,1.29
Patent records,Samsung Electronics,1457,11.07
Patent records,LG Electronics,1262,9.59
Patent records,Hyundai Motor,759,5.77
Patent records,SK hynix,615,4.67
Patent records,Kia,605,4.6
Patent records,ETRI,285,2.17
Patent records,Hyundai Mobis,202,1.53
Patent records,Dongbu Hitek Company,187,1.42
Patent records,KAIST,130,0.99
Patent records,Samsung Display,113,0.86
Patent records,Korea Electronics Technology Institute,101,0.77
Patent records,Stradvision,99,0.75
Patent records,Dongbu Electronics Company,88,0.67
Patent records,Kt Corporation,75,0.57
Patent records,Inha University Research and Business Foundation,68,0.52
