source_family,organization,records,share_of_linked_records_pct,linked_records,total_records
Scholarly publications,KAIST,837,11.74,7132,7132
Scholarly publications,Seoul National University,616,8.64,7132,7132
Scholarly publications,Yonsei University,479,6.72,7132,7132
Scholarly publications,Korea University,388,5.44,7132,7132
Scholarly publications,Sungkyunkwan University,360,5.05,7132,7132
Scholarly publications,Hanyang University,289,4.05,7132,7132
Scholarly publications,Sejong University,275,3.86,7132,7132
Scholarly publications,Kyung Hee University,264,3.7,7132,7132
Scholarly publications,Pohang University of Science and Technology,221,3.1,7132,7132
Scholarly publications,Samsung,216,3.03,7132,7132
Scholarly publications,ETRI,214,3.0,7132,7132
Scholarly publications,Kyungpook National University,191,2.68,7132,7132
Scholarly publications,Chung-Ang University,182,2.55,7132,7132
Scholarly publications,Gachon University,154,2.16,7132,7132
Scholarly publications,Pusan National University,153,2.15,7132,7132
Policy/report documents,Ministry of Science and ICT,82,7.87,1042,1042
Policy/report documents,NIST,60,5.76,1042,1042
Policy/report documents,RAND Corporation,53,5.09,1042,1042
Policy/report documents,World Economic Forum,38,3.65,1042,1042
Policy/report documents,정보통신기획평가원,37,3.55,1042,1042
Policy/report documents,Observer Research Foundation,28,2.69,1042,1042
Policy/report documents,OECD,26,2.5,1042,1042
Policy/report documents,Asian Development Bank,18,1.73,1042,1042
Policy/report documents,Uk Ministry of Housing,18,1.73,1042,1042
Policy/report documents,Asia-Pacific Economic Cooperation,16,1.54,1042,1042
Policy/report documents,Center For Strategic and International Studies,16,1.54,1042,1042
Policy/report documents,Nomura Research Institute,15,1.44,1042,1042
Policy/report documents,Small and Medium Business Administration,15,1.44,1042,1042
Policy/report documents,Centre For International Governance Innovation,14,1.34,1042,1042
Policy/report documents,Bruegel,12,1.15,1042,1042
Patent records,Samsung Electronics,1467,10.4,14110,15017
Patent records,LG Electronics,1263,8.95,14110,15017
Patent records,Hyundai Motor,762,5.4,14110,15017
Patent records,SK hynix,618,4.38,14110,15017
Patent records,Kia,608,4.31,14110,15017
Patent records,ETRI,285,2.02,14110,15017
Patent records,Hyundai Mobis,203,1.44,14110,15017
Patent records,Dongbu Hitek Company,187,1.33,14110,15017
Patent records,KAIST,130,0.92,14110,15017
Patent records,Samsung Display,113,0.8,14110,15017
Patent records,Korea Electronics Technology Institute,101,0.72,14110,15017
Patent records,Stradvision,99,0.7,14110,15017
Patent records,Dongbu Electronics Company,88,0.62,14110,15017
Patent records,Kt Corporation,75,0.53,14110,15017
Patent records,Inha University Research and Business Foundation,68,0.48,14110,15017
